time,OBS5,OBS7,OBS6,OBS2,OBS1,OBS3
34.13722002321,17.43078847502090,10.64825448822640,14.19611658646148,23.07046397509291,8.175280285119802,22.56097199249402
71.68816204874,17.43043081105301,10.64731921471922,14.19601320308996,23.07046467686013,8.175278018393405,22.56097243049568
112.9941982768,17.42961806555627,10.64547479119483,14.19576787629918,23.07046353005131,8.175268149345086,22.56097481813575
158.4308381277,17.42824468522381,10.64256332798305,14.19531796884892,23.07045727411142,8.175241775457350,22.56097961685906
208.4111419637,17.42630678923451,10.63859565330257,14.19461364533135,23.07044145976186,8.175186319838549,22.56098529640481
263.3894761833,17.42387715333624,10.63369779670517,14.19361874179945,23.07040871410008,8.175086271672292,22.56099138045114
323.8656438248,17.42106232101714,10.62807503209360,14.19231160350879,23.07035021759412,8.174924326997074,22.56099541807181
390.3894282305,17.41796894927201,10.62197815152001,14.19068593559404,23.07025416493267,8.174682630318099,22.56099499345517
463.5655910768,17.41468682845369,10.61566685316986,14.18875249187337,23.07010837319125,8.174344112768161,22.56098653829446
544.0593702077,17.41128860952611,10.60937471197406,14.18653499318453,23.06990080625171,8.173893913019841,22.56096986745566
632.6025272516,17.40783135235966,10.60329203459834,14.18406933581790,23.06961687851650,8.173320823264255,22.56093971848366
730.0000000000,17.40436345691179,10.59756225859299,14.18140343075723,23.06924156131660,8.172618845429174,22.56088676288855
